Id,Должности
136,Финансовый контролер
137,Финансовый менеджер
138,"Фитнес-тренер, инструктор тренажерного зала"
140,Хостес
142,Экономист
144,"Инженер-энергетик, инженер-электрик"
145,Юрисконсульт
146,Юрист
148,Системный аналитик
150,Бизнес-аналитик
151,Специалист по сертификации
152,Метролог
153,Менеджер по компенсациям и льготам
155,Методолог
156,"BI-аналитик, аналитик данных"
157,Руководитель отдела аналитики
158,Комплаенс-менеджер
160,DevOps-инженер
161,Руководитель филиала
162,"Мастер по ремонту оборудования, техники"
163,Маркетолог-аналитик
164,Продуктовый аналитик
165,Дата-сайентист
166,Директор юридического департамента (CLO)
167,Методист
169,"Инженер-электроник, инженер-электронщик"
170,Руководитель отдела маркетинга и рекламы
171,Руководитель отдела персонала
172,Руководитель отдела логистики
174,Инженер ПНР
175,Руководитель направления маркетинговых коммуникаций
176,Младший системный аналитик
177,Frontend разработчик (TypeScript/React)
178,DevOps (SberSpace)
179,Data engineer (Стажер)
180,Бизнес-аналитик по брокерским операциям
181,Консультант 1С ЗУП
182,Аналитик отдела продаж / Бизнес-аналитик
183,Руководитель отдела интернет-маркетинга
184,Специалист по контекстной рекламе ( удаленно)
185,Brand & Customer Manager
186,Проджект/Project Продукт/Product менеджер
187,Администратор проекта (девелопмент)
188,Финансовый менеджер / Экономист
189,Программист в отдел серверной разработки
190,Frontend developer разработчик/ Vue 3 (Middle/Middle+)
191,Senior DevOps engineer / Site Reliability Engineer (to Lisbon)
192,Руководитель группы продаж
193,Маркетолог-аналитик GetCourse
194,Консультант ERP/бизнес-аналитик
195,SMM Team Lead / Head SMM
196,Senior DevOps engineer / Старший DevOps инженер (TATLIN.UNIFIED)
197,Менеджер по рекламным коммуникациям
198,"C# developer junior / middle (.net, full-stack / back-end)"
199,Middle/Senior Frontend Developer на Vue
200,Системный аналитик (SberBrowser)
201,Бизнес-аналитик (Тераплан)
202,Бизнес-аналитик закупок
203,Frontend-разработчик (React)
204,Бизнес-аналитик команды пополнения
205,Game designer (junior)
206,"Разработчик PHP, WordPress"
207,Senior Системный аналитик
208,Руководитель направления инфлюенс-маркетинга и видеоконтента
209,Ведущий Бизнес-аналитик 1С (Закупки)
210,Бизнес-аналитик службы контроля кассовых сервисов
211,"Frontend-разработчик (Портал ""Рамблер"")"
212,Middle Full Stack Developer
213,Рекрутер/Менеджер по подбору персонала
214,DevOps-инженер (X5) уровень Expert
215,Директор по маркетингу в косметическую компанию
216,Стажер - Аналитик 1С
217,Аналитик СМИ / Специалист по мониторингу СМИ
218,Frontend-разработчик на React
219,Руководитель отдела маркетинга
220,Business Development analyst
221,Стажер бизнес-аналитик HRM систем
222,Технолог (банковские продукты)
223,Менеджер по бизнес-процессам/Business processes manager
224,Блогер по арбитражу
225,Математик-разработчик / Mathematician Developer
226,QA Инженер (Middle/Senior)
227,Web-разработчик (верстка)
228,Java-разработчик (junior)
229,Junior Go Developer
230,Руководитель подразделения по сопровождению ERP и учётных систем
231,Руководитель отдела продаж (аутстаффинг)
232,Эксперт по претензионной работе по картам и СБП в Финтех
233,Программист / разработчик 1С ERP
234,Product Designer (intern)
235,Менеджер по работе с маркетплейс
236,Python-разработчик (Junior)
237,Руководитель юридического отдела
238,Аналитик данных (маркетинг)
239,Senior java разработчик
240,Аналитик по операционной эффективности
241,React Native Developer
242,Фронтенд-разработчик (Middle)
243,Менеджер по работе маркетплейсами (WB)
244,Стажер-программист ASP.NET (C#)
245,Аналитик системный
246,Программист PHP
247,Frontend-разработчик (middle)
248,Консультант 1С (Junior)
249,Senior Frontend-разработчик (React)
250,Middle/Senior Backend (Golang) developer
251,Программист-аналитик
252,Ведущий парикмахер-стилист / Парикмахер-стилист
253,Ведущий BI-Аналитик
254,Менеджер по маркетплейсам (Junior - начальный уровень)
255,"Аккаунт/Sales-менеджер по продажам IT-конференций, B2B"
256,Middle Software Developer (Python)
257,Руководитель учебного центра/Руководитель IT-Академии
258,DevOps-инженер (1C)
259,Разработчик Java
260,Менеджер по подбору персонала
261,Devops Engineer
262,Project manager (со знанием английского языка)
263,Программист разработчик 1C
264,Разработчик 1С ERP
265,Бизнес-аналитик (продукты Bloomberg/Refinitiv)
266,"Коммерческий представитель, г. Москва"
267,Tech Lead DevOps инженер
268,Аналитик данных (MS Excel)
269,Project Management Lead (Martech)
270,Старший Java-разработчик (Jakarta EE)
271,Product owner международный сайт
272,Асессор/Специалист по разметке данных
273,Project/Аккаунт менеджер
274,Ученик HR менеджера
275,Middle C# Unity Developer в стартап: перевернуть геймдев!
276,Дизайнер UX/UI
277,Менеджер по интернет-маркетингу
278,Специалист казначейства для международной компании
279,Программист backend Python
280,Менеджер по работе с клиентами
281,Офис-менеджер (отдел продаж 2/2)
282,Системный администратор Linux (DevOps инженер)
283,DevOps инженер Middle+/Senior
284,DevOps инженер (хранилище)
285,Менеджер бизнес-проектов (Каналы банка)
286,Менеджер по развитию бизнеса с региональными ключевыми клиентами / Regional Key Account Development
287,Devops инженер Middle+/Senior (удаленно)
288,Младший DevOps инженер
289,Ведущий финансовый аналитик/Заместитель финансового директора в ресторанный холдинг
290,Разработчик C++
291,Senior Business/System Analyst
292,Менеджер по адаптации и HR-бренду
293,Аналитик бизнес - процессов (аудит)
294,Финансовый менеджер (удаленка)
295,Менеджер продукта / Product Manager
296,Менеджер по продукту / Product manager
297,"Директор по маркетингу в маркетинговое агентство (IT, B2B проекты)"
298,Бизнес-аналитик Collection
299,Junior специалист по контекстной рекламе / Junior Paid Search Manager
300,Бизнес-аналитик в финтех проект
301,Системный аналитик / Бизнес аналитик / Аналитик DWH по хранилищам данных
302,Менеджер по развитию бизнеса B2B (BizDev)
303,Менеджер по продажам/Sales manager
304,Стажер в HR отдел
305,Front-end Vue.js Developer (Senior)
306,Системный аналитик (senior/middle+/middle)
307,Начинающий специалист (в офис)
308,Ведущий системный аналитик (Senior)
309,QA Инженер (РуВики)
310,"C#/.NET-разработчик (ДБО, Микросервисная архитектура)"
311,DevOps инженер (сопровождение АС МЕТА)
312,DevOps инженер
313,Vue разработчик
314,DevOps Engineer.
315,Инженер-программист (Backend C++)
316,Инженер (ведущий системный администратор/руководитель группы разработки)
317,"Старший менеджер маркетплейсов Wildberries, OZON"
318,Data analyst
319,Middle system administrator / Старший системный администратор
320,Менеджер по продажам (упаковка)
321,Бизнес Аналитик [Junior]
322,Менеджер маркетплейс Wildberries (удаленно)
323,Главный специалист Отдела финансового планирования и прогнозирования
324,IT-рекрутер
325,Заместитель финансового директора
326,Аналитик данных в команду Авито Путешествий
327,Бизнес-аналитик (дашборды)
328,Финансовый аналитик в Доставку
329,Программист C/C++
330,Менеджер по маркетплейсам Wildberries / Ozon
331,Бизнес-аналитик (системы управления запасами)
332,Frontend-разработчик (разработка мобильных и веб приложений)
333,Бизнес-аналитик 1С Документооборот 3.0/Москва
334,Бизнес-аналитик Отдела планирования операционной деятельности
335,QA manual / QA engineer
336,Главный инженер (Devops инженер)
337,Аналитик бизнес-процессов продаж
338,Middle/Middle+ Frontend-разработчик (React)
339,Финансовый аналитик (e-commerce)
340,Ведущий разработчик .NET
341,Senior Analyst / Старший бизнес-аналитик
342,Android Developer (Middle / Senior)
343,Бизнес-аналитик ЦФТ
344,Junior Pricing Analyst
345,DevOps инженер (Cloud Engineer)
346,Руководитель технической поддержки
347,"Копирайтер (Хабр, VC)"
348,Senior Frontend-разработчик React
349,Инженер сопровождения 2 линии (трайб POS)
350,"Бизнес-аналитик в операционный блок (депозитарий, бэк-офис и мидл-офис)"
351,PHP - программист / разработчик (PHP Middle Developer)
352,Менеджер по продажам B2B (IT направление)
353,"Консультант/Бизнес-аналитик по предметной области ""ТОиР промышленного оборудования, EAM, RCM, APM"""
354,Графический дизайнер / Веб дизайнер / Дизайнер для мероприятий
355,Специалист по операционной поддержке продаж в команду Авито Авто
356,Специалист технической поддержки (со знанием английского и SQL)
357,Руководитель направления по адаптации
358,Младший бизнес-аналитик
359,Младший специалист по анализу данных / Junior Data Scientist
360,Менеджер по работе с маркетплейсом OZON/специалист по работе с ОЗОН
361,Бизнес-аналитик в логистике
362,Бизнес-аналитик (ЭДО)
363,DevOps Engineer (MDR)
364,Аккаунт-менеджер/Менеджер по работе с партнерами
365,DevOps-инженер в «Процессинг Лояльности»
366,Руководитель-координатор проектов по производству декораций для музеев
367,PHP разработчик (Middle)
368,"Email-маркетолог (Интернет-маркетолог, CRM-маркетолог)"
369,Аналитик 1С и веб-сайтов
370,Ведущий бизнес-аналитик 1С:ERP (блок Производство)
371,Руководитель удаленого отдела логистики
372,Бизнес-аналитик / Руководитель аналитического отдела
373,Менеджер в отдел закупок со знанием английского языка
374,Ведущий дизайнер одежды (женская)
375,C&B-аналитик / HR-аналитик
376,Бизнес-аналитик (BI-отчетность по Персоналу)
377,Руководитель отдела продаж (переписки в соцсетях)
378,Бизнес-аналитик 1С ERP
379,Руководитель Интернет-магазина
380,Менеджер по работе с постоянными клиентами
381,SMM/stories maker
382,Ассистент продюсера / Младший геймдизайнер
383,Product Manager middle
384,Эксперт по производственным системам
385,Менеджер продукта / Product manager
386,MLops/Devops инженер
387,Middle PHP-разработчик/Backend developer
388,Manual QA
389,Разработчик пояснительной записки в формате xml
390,Бизнес-аналитик WMS-систем
391,"Бизнес-аналитик (по отчетности, сопровождению колл-центра)"
392,Разработчик .NET(Middle/Senior)
393,Программист-разработчик (Junior)
394,Руководитель отдела проектного управления (Head of Project Management) SEO
395,Менеджер по запуску проектов (цифровизация документационных процессов)
396,Стажер (ученик) на курс backend-разработки (PHP)
397,Руководитель пресс-службы
398,Python-разработчик(Зеленоград)
399,Проджект-менеджер в Digital-агентство (Fashion сегмент)
400,Ведущий архитектор
401,Стажер (IT и аналитика)
402,Ведущий Аналитик 1С
403,Менеджер поддержки проектов (SEO)
404,Бизнес-аналитик (проект Global Position)
405,SRE инженер (On-Premise)
406,Руководитель отдела подбора персонала
407,Cтажер/младший консультант по внедрению ERP
408,Бизнес-аналитик (логистика)
409,Химик-аналитик
410,Senior C# / .NET Developer
411,Руководитель разработки сайта
412,2D artist / 2D-художник
413,Андеррайтер/Верификатор
414,"DevOps-инженер (middle, junior)"
415,Дизайнер миссий
416,Разработчик С++
417,Стажёр бизнес-аналитик 1С
418,Бизнес-аналитик по логистике
419,Аналитик данных (Excel)
420,Финансовый Аналитик
421,DevOps engineer (разработка АБС для Индийского филиала)
422,Менеджер по стратегии
423,Главный бухгалтер/бухгалтер в единственном числе
424,Менеджер по организации корпоративных мероприятий (Event-manager)
425,Junior QA Инженер
426,Аналитик в отдел организации судебных взысканий
427,SMM-специалист в медицинскую клинику
428,Тестировщик / QA Engineer GameDev (Middle/Senior)
429,Разработчик БД (дистанционный формат)
430,Ведущий бизнес аналитик (Телеком)
431,Frontend разработчик (Vue)
432,Младший финансовый аналитик
433,Руководитель Департамента Финансового планирования и анализа
434,Руководитель проектов ИТ
435,"Frontend developer (vue, nuxt) Fanzee Labs"
436,Software Engineer Blockchain
437,Менеджер по маркетингу/Маркетолог
438,Fullstack PHP-программист (удаленно) от 3 000 $ до 5 000 $
439,SAP ABAP разработчик (junior)
440,Главный инженер по автоматизации/DevOps engineer
441,Руководитель отдела управленческого учета и отчетности
442,Ассистент руководителя
443,Риск-методолог/Аналитик Данных
444,Старший системный аналитик DWH
445,Продуктовый дизайнер (Mycloud.ru)
446,Python Backend Developer
447,Начинающий специалист в департамент PR
448,Системный аналитик / Бизнес аналитик
449,Оператор чата контактного центра
450,Ведущий бизнес-аналитик (Yappy)
451,Менеджер по продажам услуг
452,Product owner (Менеджер продукта)
453,Бизнес-аналитик (oCRM и ДБО)
454,Финансовый менеджер/Финансовый аналитик
455,Аналитик в проектную команду
456,Бизнес-аналитик (Импортозамещение ЦФТ)
457,Руководитель пресс-службы в сервис путешествий
458,Специалист по визуальной аналитике
459,Начинающий менеджер по интернет-рекламе
460,Системный аналитик (Архитектор)
461,"Бизнес – аналитик в ""Блокчейн Хаб”"
462,Data engineer / Дата-инженер по работе с БД
463,Middle QA Engineer
464,Senior Frontend Developer
465,Middle+ DevOps-инженер
466,PHP-разработчик (доработка CRM-системы)
467,Junior Analyst / Младший аналитик (web3)
468,Стажер отдела продаж воздушных судов (бизнес-джеты)
469,Senior DevOps (ADAS)
470,Аналитик бизнес-процессов (начинающий)
471,Data analyst (Almaty)
472,Аналитик (развитие розничных сетей)
473,Senior DevOps-инженер (Cloud Platform&SEC)
474,Менеджер в отдел планирования и развития послепродажного обслуживания
475,Game Designer в стиле GTA удаленно
476,TypeScript-разработчик (Telegram Mini Apps)
477,DevOps инженер (remote)
478,Директор департамента аналитики и исследований
479,Бизнес-аналитик ML
480,Middle Front-end developer / Front-end разработчик (Vue.js)
481,Ведущий специалист проектного офиса перспективных разработок (Экономист)
482,Дежурный специалист технической поддержки (сменный график)
483,Бизнес-аналитик (цифровая трансформация)
484,Бизнес-аналитик (Ботанический сад)
485,Медицинский регистратор
486,Unity-разработчик (Mid-Senior) Hyper Casual игр
487,Продуктовый маркетолог (инвестиционно-банковские продукты)
488,Старший дизайнер / Team Lead отдела дизайна
489,DevOps-инженер (senior)
490,Системный аналитик 1С (Middle)
491,Директор по развитию
492,Data scientist
493,Менеджер Telegram
494,Аналитик OZON \ Ведущий менеджер OZON
495,Менеджер (middle office)
496,Бизнес-аналитик Power BI
497,Lead Java Developer
498,Аналитик баз данных и бизнес-аналитики
499,Lead бизнес/системных аналитиков
500,DevOps - Инженер
501,Бизнес-аналитик (иностранный банк)
502,DevOps-инженер (EVM stack)
503,Ассистент аналитика
504,Flutter-разработчик
505,Algorithmic Trader/Алгоритмический Трейдер в Sparkland
506,Региональный управляющий
507,Коммерческий директор
508,Junior Java-разработчик
509,Менеджер маркетплейсов ВБ (Гибридный график работы)
510,Middle / Middle+ Python разработчик
511,SEO - cпециалист
512,"Старший системный аналитик (Логистика, Системы оперирования точкой ПВЗ)"
513,Middle+/Senior Devops Engineer в продуктовую команду
514,DevOps инженер/Middle
515,DevOps Engineer (Senior)
516,Fullstack-аналитик
517,Senior business analyst (Лимасол)
518,Тестировщик/QA engineer
519,Специалист казначейства (Банки и ДДС)
520,Управляющий фитнес-клубом
521,DevOps-инженер 1С
522,Brand manager (Kotex)
523,SQL-разработчик
524,Системный аналитик (Интеграции)
525,Продуктовый редактор
526,DevOps-специалист
527,Стажер - программист
528,Младший Web3-разработчик (Junior)
529,Специалист по компенсациям и льготам (C&B)
530,"Специалист по маркетинговым исследованиям и моделированию рынка, г. Москва"
531,DevOps Team Lead
532,Senior Java-разработчик (Blockchain)
533,Бизнес-аналитик (junior)
534,Ведущий DevOps-инженер
535,Java backend developer
536,Middle Devops инженер
537,Директор по маркетингу в ресторанную группу by Novikov
538,Технический архитектор 1С корпоративных внедрений
539,Аналитик группы (Управление оценки эффективности и координации бизнеса)
540,Team Lead (Java) / Руководитель команды разработки
541,Front-end-разработчик digital-продуктов
542,Юрист в игровую компанию (middle)
543,Менеджер игрового проекта (монетизатор)
544,Middle Бизнес Аналитик (коммерция)
545,"Инженер по тестированию ПО (регрессионное, web)"
546,"Системный / бизнес-аналитик (МБС, ЦСС)"
547,Секретарь офиса
548,Руководитель проектов 1С (бизнес-аналитик)
549,React Frontend Developer
550,DevOps-инженер (Middle-Senior)
551,Руководитель технической команды (Серверы)
552,Бизнес-аналитик (аналитик по налогообложению)
553,"Sales representative with knowledge of English (Moscow, Offline)"
554,Ведущий бизнес-аналитик 1С:УТ
555,IT HR Business Partner (HR BP)
556,Junior разработчик .Net
557,Backend разработчик (Java)
558,Бизнес-аналитик/технолог проекта ВТБ Pay
559,Java-разработчик middle+/senior
560,Senior SMM Manager
561,Младший Разработчик С++
562,Консультант ИС по расчету заработной платы
563,DevOps engineer / DevOps инженер (TATLIN.UNIFIED)
564,HRD / HRBP / Руководитель HR-отдела
565,Customer Success / Product Manager
566,Процессный бизнес-аналитик (моделирование и регламентация бизнес-процессов)
567,SMM специалист
568,Инженер ПТО
569,Бизнес-аналитик (Россия)
570,Коммерческий директор с опытом управления производством
571,Младший аналитик рынка ценных бумаг
572,Технический аналитик
573,"DevOps engineer (GCP, YC)"
574,Unity/С# разработчик (мобильные казуальные игры)
575,PHP-разработчик (Laravel)
576,Ассистент
577,Администратор базы данных (отдел бизнес аналитики и управление данными)
578,Аналитик-разработчик (прогнозирование и планирование)
579,Бизнес аналитик/Проектный менеджер по развитию и сопровождению моделей оценки кредитного риска
580,DevOps Engineer Sentry
581,Финансовый аналитик (направление отчетности и работы с данными)
582,React Frontend-разработчик (на верстку креативных сайтов)
583,Медицинский аналитик
584,Главный эксперт по аналитике и отчетности
585,Инженер эксплуатации прикладного ПО
586,Frontend-разработчик
587,Сhief product officer (CPO)
588,Product Owner – Credit Line
589,Бизнес-аналитик / Business Analyst
590,Аналитик данных
591,DevOps / SRE инженер
592,Дизайнер коммуникаций
593,Продуктовый дизайнер (внутренний продукт)
594,Продакт-менеджер (удаленно)
595,Системный аналитик (разработка интеграционного продукта)
596,Аналитик НСИ
597,Senior PHP developer
598,WEB-разработчик
599,"Автор на курс ""BI-аналитик"""
600,Авитолог (по работе с классифайдами)
601,Senior media buyer native (crypto)
602,Бизнес/Системный аналитик
603,Golang Developer (Москва)
604,DevOps-инженер (госуслуги)
605,Бухгалтер - экономист
606,Специалист по сопровождению документации
607,Инженер-проектировщик
608,"Специалист по бизнес-процессам, бизнес аналитики."
609,Руководитель отдела маркетинга / Маркетолог
610,Функциональный архитектор 1C ERP
611,Младший менеджер маркетплейсов (WB)
612,Менеджер по продажам недвижимости
613,Системный аналитик (СберИнвестор)
614,Помощник администратора учебного процесса
615,Директор по работе с ключевыми клиентами
616,Бизнес-аналитик Middle (м. Деловой центр)
617,Младший PR менеджер(Beauty)
618,Crypto Analyst
619,Менеджер по продажам SaaS-продуктов
620,SRE-инженер\DevOps инженер
621,Head of PR
622,Системный администратор Специалист по информатизации
623,Junior QA Engineer
624,Product Marketing Manager
625,Финансовый директор
626,Младший аналитик данных
627,Менеджер по развитию бизнеса (BDM)
628,Бизнес-аналитик (внедрение ЭДО)
629,"Junior+ Python разработчик, удаленно"
630,Руководитель департамента ECOM
631,Старший аналитик
632,Marketing specialist
633,Оператор ЭВМ
634,Специалист по документообороту
635,Product-manager 1С/Продакт-менеджер по направлению 1С
636,HR менеджер/руководитель отдела кадров
637,Младший бизнес-аналитик 1С
638,Senior front-end developer (React)
639,Ресторанный бизнес-аналитик
640,Менеджер по работе с маркетплейсами / Менеджер E-com
641,Senior brand manager / Бренд-директор
642,Начальник отдела анализа требований (СА+БА)
643,Бизнес-аналитик (платежная система и международные расчеты)
644,Продуктовый дизайнер (B2B)
645,Менеджер по продукту
646,Devops инженер middle (Портал Клиента)
647,Куратор образовательных программ (студенческий support)
648,Бизнес-аналитик 1C ERP
649,Lead Frontend Developer (react)
650,Главный специалист отдела системной экспертизы (BI-аналитик)
651,BI-аналитик(Блок Продукты)
652,Стажёр копирайтер
653,Intern BI-analyst / Стажер аналитик данных
654,Продакт-менеджер ( со знанием итальянского языка)
655,Системный аналитик Elma
656,"Бизнес-аналитик/CJE в команду ""Подписка ВТБ Плюс"""
657,Специалист по подбору персонала / Рекрутер / Сорсер
658,E-Commerce BI Analyst
659,Бизнес-аналитик ERP
660,Руководитель отдела бизнес процессов и регламентов/бизнес-аналитик
661,Ведущий программист 1С (дистанционно)
662,Head of Direct Procurement Department (strategic raw materials procurement team)
663,"Account Manager, Event Agency (Moscow)"
664,Специалист по работе с маркетплейсами (возвратный товар)
665,PHP Senior Backend Developer
666,Консультант 1С/Аналитик 1С
667,Бизнес-аналитик в департамент внутреннего контроля
668,Разработчик системы BI (MULTIVERSE)
669,Менеджер маркетплейсов Wildberries OZON
670,Ведущий специалист по разработке бизнес-аналитики
671,Бизнес-аналитик (Корзина)
672,"Инженер-технолог/программист ЧПУ, фрезерная группа"
673,Бизнес-аналитик 1С УАТ
674,Заместитель руководителя E-commerce
675,Веб-дизайнер
676,Аналитик RPA (IT-интегратор)
677,Специалист контрактного отдела (Москва)
678,Руководитель отдела развития информационных систем
679,BI Аналитик (Управление финансовой портфельной аналитики)
680,Ведущий бизнес аналитик (Центр сервиcной организации)
681,Junior Machine Learning Developer
682,Бизнес-аналитик (банк)
683,Project manager IT(e-commerce)
684,Специалист по системам менеджмента качества
685,Маркетолог / Интернет-маркетолог
686,Level Designer
687,Junior Quantitative Researcher
688,Ведущий бизнес-аналитик ИТ
689,Аналитик сопровождения
690,"Помощник в департамент продаж ""Самолет плюс"" Prime Plaza"
691,BI-аналитик (Gamedev)
692,QA-тестировщик 1С КА/УТ/ERP/WMS
693,Стажер Product Manager
694,Бизнес-аналитик / Business analyst
695,Бизнес-аналитик 1С (Финансы)
696,Бизнес/системный аналитик (DataNewton)
697,Помощник руководителя в ИТ компанию (офис)
698,Бизнес-аналитик (Налоговый мониторинг)
699,Программист С#
700,Помощник руководителя - ассистент - менеджер маркетплейсов wildberries
701,Менеджер проектов CRM
702,Тестировщик ПО (manual)
703,Начинающий аналитик
704,Ведущий SRE Devops инженер
705,Fullstack JavaScript (middle)
706,Тестировщик QA
707,IT Recruiter / Менеджер по подбору ИТ персонала
708,"Сетевой разработчик (С,С++, ядро)"
709,Middle+/senior DevOps engineer (авиационный блок)
710,Manual QA engineer
711,Руководитель отдела Е-commerce
712,BI аналитик-разработчик / BI developer
713,Управляющий Салоном красоты в центре москвы
714,Бизнес-аналитик (ELMA365)
715,Java Разработчик
716,Руководитель отдела DevOps
717,Главный инвестиционный аналитик департамента корпоративных финансов
718,Заместитель коммерческого директора
719,Бизнес-аналитик (автоматизация и цифровизация бизнес-процессов)
720,Бизнес-аналитик (в фармацевтическую компанию)
721,Systems Analyst/Системный аналитик/СА
722,Системный аналитик (Yappy)
723,Архитектор решений
724,DevOps инженер Сайта sberbank.ru
725,"Бизнеc/системный-аналитик (PosgreSQL, SQL)"
726,Руководитель сопровождения студентов
727,Ведущий аналитик/Аналитик данных
728,Менеджер по цифровому развитию клиентов
729,Java Developer (Экспертизы и этапы КП)
730,"Business analyst (Junior PO), Investment banking, Core"
731,Медиа Байер / Media buyer / Арбитражник
732,Backend developer
733,Аналитик данных / Инженер по качеству данных
734,"Руководитель направления по развитию и сохранению клиентской базы (CRM директор, AI/LLM)"
735,Специалист технической поддержки 1C / Консультант 1C
736,Senior QA Python Automation Engineer (удалённо)
737,Менеджер по продажам оборудования
738,Маркетолог в онлайн-школу профессий
739,Ведущий специалист 1С / Руководитель отдела внедрения 1С продуктов
740,Продуктовый UI/UX Дизайнер
741,Аналитик коммерческого отдела
742,Бизнес-Аналитик отдела продаж
743,Manager - Risk & Assurance
744,Аналитик по работе с ОЗОН (OZON)
745,HR Business Partner
746,Бизнес-аналитик E-COM
747,Программист 1С/Разработчик 1С
748,DevOps инженер (Hadoop)
749,Customer support (Fluent Portuguese)
750,DevOps-инженер Middle+ / Senior
751,Ведущий разработчик 1С
752,Техник-программист/системный администратор
753,Бизнес-аналитик / Project manager в области ИИ
754,Младший специалист по маркетингу
755,Бизнес-аналитик по сопровождению транзакционных продуктов корпоративного бизнеса
756,Администратор/аналитик проектов
757,Junior Digital специалист (младший SMM/ORM менеджер)
758,Руководитель службы поддержки 1С ЗУП (Тимлид)
759,Key Account Manager
760,Middle QA инженер
761,Analyst / Аналитик
762,Flutter Senior / Team Leader / Middle
763,Бизнес-аналитик (сберегательные и страховые продукты для физических лиц)
764,Техлид С# (.net)
765,IT бизнес- аналитик Middle
766,Бизнес-аналитик 1С:ERP
767,SEO-специалист
768,Бизнес-аналитик в проект БКИ
769,Бизнес- аналитик/продуктолог Служба методологии и риск-инструментов корпоративного кредитования КИБ
770,Java разработчик (Комплаенс)
771,Менеджер по работе с маркетплейсами (E-commerce)
772,ТехЛид PHP
773,Системный аналитик (System analyst)
774,Менеджер продукта/продуктовый аналитик
775,QA engineer (ручное тестирование)
776,Senior UI/UX Дизайнер (в единственном числе)
777,Руководитель проектов в ИТ компании
778,Бизнес-аналитик (Проектный менеджер)
779,Разработчик 1C (middle)
780,Системный аналитик 1С:ERP
781,Программист микроконтроллеров (Junior)
782,QA Backend
783,Руководитель проекта в отдел развития цифрового производства
784,Product Designer
785,Руководитель проекта «Миграция в 1С:Комплексная автоматизация»/ системный аналитик
786,Младший менеджер маркетплейсов Wildberries/Ozon
787,"Senior front-end разработчик (TypeScript, React)"
